Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
TATAMOTORS,23-May-2024,30-May-2024,952.00,966.00,947.85,964.85,964.75,964.85,16158.00,220462.92,57750975.00,-4763775.00,962.35
TATAMOTORS,23-May-2024,27-Jun-2024,952.75,966.00,948.30,965.00,964.60,965.00,6731.00,91892.11,24306225.00,481650.00,962.35
TATAMOTORS,23-May-2024,25-Jul-2024,957.00,971.50,956.00,970.90,970.90,970.90,718.00,3811.17,1599400.00,-68750.00,962.35
TATAMOTORS,24-May-2024,30-May-2024,964.00,973.80,960.40,963.00,961.55,963.00,13394.00,184839.86,54802650.00,-2948325.00,960.55
TATAMOTORS,24-May-2024,27-Jun-2024,964.60,973.80,950.05,963.55,961.75,963.55,7577.00,104611.41,27419850.00,3113625.00,960.55
TATAMOTORS,24-May-2024,25-Jul-2024,970.90,979.90,968.00,970.35,969.85,970.35,674.00,3615.55,1606550.00,7150.00,960.55
TATAMOTORS,27-May-2024,30-May-2024,964.90,967.65,954.00,961.25,961.60,961.25,15137.00,207727.80,43711875.00,-11090775.00,958.50
TATAMOTORS,27-May-2024,27-Jun-2024,965.55,968.95,954.40,961.65,962.50,961.65,13903.00,190848.92,36887550.00,9467700.00,958.50
TATAMOTORS,27-May-2024,25-Jul-2024,975.45,975.45,961.00,968.40,968.95,968.40,527.00,2809.89,1633500.00,26950.00,958.50
TATAMOTORS,28-May-2024,30-May-2024,958.40,963.75,947.70,951.15,950.75,951.15,15448.00,210260.81,31331475.00,-12380400.00,947.55
TATAMOTORS,28-May-2024,27-Jun-2024,962.00,964.35,948.40,951.30,951.25,951.30,15886.00,216292.75,49595700.00,12708150.00,947.55
TATAMOTORS,28-May-2024,25-Jul-2024,967.85,969.95,955.75,958.00,957.10,958.00,676.00,3576.52,1732500.00,99000.00,947.55
TATAMOTORS,29-May-2024,30-May-2024,946.35,954.00,941.60,947.70,946.30,947.70,19846.00,267955.20,16713825.00,-14617650.00,943.60
TATAMOTORS,29-May-2024,27-Jun-2024,947.10,953.80,942.05,946.15,945.80,946.15,21635.00,292001.17,64670775.00,15075075.00,943.60
TATAMOTORS,29-May-2024,25-Jul-2024,955.00,960.00,931.65,953.20,953.35,953.20,815.00,4276.17,1850200.00,117700.00,943.60
